Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
banco madera largo colchón 1 plaza colchón dos plaza ropero;Un banco de madera largo, un colchón de 1 plaza, un colchón de dos plazas y un ropero;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00107395/23
ocupar espacio reservado discapacitado poder bajar persona lugar asignado;Esta ocupando un espacio reservado para discapacitados. No pudimos bajar a la persona en su lugar asignado;vehículo mal estacionado;Vehículo mal estacionado;00281986/23
auto estacionado puerta garage impedir entrar propietario;Auto estacionado en la puerta de un garage impidiendo entrar al propietario.;vehículo mal estacionado;Vehículo mal estacionado;00294483/23
robar cartel estacionamiento moto 45grados dejar solo poste;se robaron el cartel de estacionamiento de motos en 45grados dejaron solo el poste;cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales;00108645/23
solicitar arreglo vereda;solicita el arreglo de vereda.;reparación veredo;Reparación de vereda;00175365/23
árbol casi entrar ventana primero piso miedo alguien treper calle;El árbol casi entra a mi ventana del primer piso y tengo miedo que alguien se trepe desde la calle;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00212919/23
retiro escombro;Retiro de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00338541/23
retiro escombro;Retiro de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00326901/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00360278/23
Secarropas;Secarropas;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00001742/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00075812/23
roedor;roedores;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00076335/23
grafiti porton;grafiti en porton;pintura grafitis;Pintura sobre grafitis;00127148/23
demolición escombro;Demolición y escombros;Construcción permiso cartel reglamentario código QR;Construcción sin permiso o sin cartel reglamentario con código QR;00151400/23
vecino solicitar pasar retirar resto escombro encontrar embolsado 15 bolsa;El vecino solicita que se pasen a retirar restos de escombros que ya se encuentran embolsados y son 15 bolsas.;retiro escombro resto obra;Retiro de escombros / restos de obra;00309813/23
escombro;escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00333671/23
demolición interior departamento causar daño vecino permiso persona protección;Demolición interior departamento causando daño a vecinos, sin permiso y con personas sin protección;Construcción permiso cartel reglamentario código QR;Construcción sin permiso o sin cartel reglamentario con código QR;00355814/23
Vereda rota año 2018 efectuar varios reclamo anterioridad vereda rompio personal Edesur reparación nunca volver reparar;Vereda rota desde el año 2018. Ya se efectuaron varios reclamos con anterioridad.  La vereda la rompio personal de Edesur para reparación, nunca se volvio a reparar.;reparación veredo;Reparación de vereda;00289322/23
lámpara público apagado Eduardo ACEVEDO esquina Bogota Acevedo MANO Aerecha;Lámpara pública apagada sobre Eduardo ACEVEDO esquina Bogota. Sobre E Acevedo MANO DERECHA;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00046140/23
;;luminaria intermitente;Luminaria intermitente;00007261/23
;;queja Contenedores basura;Queja por Contenedores de basura;00020731/23
apagar prender rato;Se apaga y prende de a ratos.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00007260/23
;;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00017970/23
contenedor llevar cuadra;No hay contenedor ,lo llevaron para la otra cuadra.;queja Contenedores basura;Queja por Contenedores de basura;00131739/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00231621/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00246823/23
;;derrame líquido peligroso industrial;Derrame de líquidos peligrosos / industriales;00110459/23
estacionado puerta casa poder entrar;Está estacionado en la puerta de mí casa y no puedo entrar;vehículo mal estacionado;Vehículo mal estacionado;00017739/23
vehículo estacionado vereda puerta casa;Hay un vehículo estacionado en la vereda en la puerta de mi casa.;vehículo mal estacionado;Vehículo mal estacionado;00130871/23
dia cerca 8hs realizar limpieza plaza I . Casares maquina soplador además ruido molesto levantar cantidad enorme polvo provocar broncoespasmo hijo alergia resto familia;Todos los dias cerca de las 8hs se realiza la limpieza de la plaza I. Casares con maquinas sopladoras.  Esto, además de los ruidos molestos, levanta una cantidad enorme de polvo que provoca broncoespasmo en mi hijo y alergia en el resto de la familia;malos Olores Humos Gases Tóxicos;Malos Olores / Humos / Gases Tóxicos;00098955/23
vehiculo estacionado tapar mitad entrada garage edificio;Vehiculo estacionado tapando la mitad de la entrada del garage del edificio;vehículo mal estacionado;Vehículo mal estacionado;00304668/23
buena realice renovación registro realizando paso segun indicaba pagina yo abone gasto registro controle multa apareciar ninguno impaga resolver hoy dirigir TURNO comuno 14 bompland cordobo iniciar tramite inforar tener plan pago multa daban solo mes registro trabajador relacion dedependencia necesito registro tarea realizo situación parece ma AL nadie informo aviso tramite cuestar gracia;BUENAS ,REALICE LA RENOVACION DE REGISTRO,FUI REALIZANDO LOS PASOS SEGUN ME INDICABA LA PAGINA DE BA ,ABONE TODOS LOS GASTOS DEL REGISTRO,Y CONTROLE LAS MULTAS ,Y NO ME APARECIA NINGUNA IMPAGA O POR RESOLVER ,HOY ME DIRIGI CON MI TURNO  A LA COMUNA 14 EN BOMPLAND Y CORDOBA Y AL INICIAR EL TRAMITE ME INFORMA QUE POR TENER UN PLAN DE PAGO DE UNA MULTA ,ME DABAN POR SOLO UN MES EL REGISTRO ,SOY TRABAJADOR EN RELACION DEDEPENDENCIA Y NECESITO EL REGISTRO POR LA TAREA QUE REALIZO ,EN LA SITUACION QUE ESTAMOS ME PARECE ,MAL QUE NADIE ME INFORMO ANTES NI AVISO,EL TRAMITE ME CUESTA MUCHO,DESDE YA GRACIAS;propuesta mejorar trámite;Propuestas para la mejora en trámites;00277595/23
solicitar retiro escombro;Solicito retiro de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00253607/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00017996/23
todo luminaria plazoleto encontrar apagado;Todas las luminarias de la plazoleta se encuentran apagadas;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00054434/23
varios problema robo contenedor tapa visto Piedras 516 local abandonado hacer año ahí molestar usar baño olor terrible;Tuvimos varios problemas de robos porque el contenedor tapa la vista. En Piedras 516 el local está abandonado hace años ahí no molesta tanto. Lo usan de baño y el olor es terrible;queja Contenedores basura;Queja por Contenedores de basura;00049489/23
Semáforo tapar semáforo peatón;Semáforo tapado por el semáforo de peatones;reparación semáforo;Reparación de semáforo;00073600/23
pelea día gente calle tirar basura afuero generar inseguridad 2 robo gente esconder detrás tacho cerca edificio PONGANLO PIEDRAS 520;Es una pelea todos los días con la gente de la calle que tira la basura afuera, también genera inseguridad ya tuvimos 2 robos por gente que se esconde detrás del tacho y está cerca del edificio. PONGANLO EN PIEDRAS 520;queja Contenedores basura;Queja por Contenedores de basura;00064729/23
;;reparación bache calle;Reparación de bache en calle;00064709/23
;;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00114343/23
todo cuadra apagado;Toda la cuadra apagada;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00114347/23
todo luminaria colgante calle encontrar apagado;Todas las luminarias colgantes de la calle se encuentran apagadas;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00279922/23
obra empresa servicio veredo edificio poder haber escombro;Hay una obra de empresa de servicios en la vereda del edificio, puede haber otros escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00111515/23
obra servicio publico rn cuadra;HAY OBRAS DE SERVICIOS PUBLICOS RN LA CUADRA;retiro escombro resto obra;Retiro de escombros / restos de obra;00117697/23
obra Metrogas cuadra;Hay obras de Metrogas en la cuadra;retiro escombro resto obra;Retiro de escombros / restos de obra;00140246/23
ocupado ambos vereda cada vez indigente prender fuego vereda cocinar colchón permitir caminar gente sentado dormir ambos lado vereda;Ocupada ambas veredas por cada vez más indigentes que prenden fuego en las veredas para cocinar, hay colchones que no permiten caminar y hay gente sentada y durmiendo en ambos lados de las veredas.;Limpieza Higienización Espacios Públicos Asentamientos Precarios;Limpieza/Higienización de Espacios Públicos por Asentamientos Precarios;00012699/23
seguir ocupado ambos vereda lleno mugre encender fuego árbol favor llevar gente lado despejar vereda poder transitar Gracias;Siguen ocupadas ambas veredas. Está lleno de mugre. Encienden fuego sobre el árbol. Por favor lleven a esa gente a otro lado y despejen las veredas para poder transitar.  Gracias;Limpieza Higienización Espacios Públicos Asentamientos Precarios;Limpieza/Higienización de Espacios Públicos por Asentamientos Precarios;00015677/23
sucio asentamiento Cosas tiradas Árbol quemado Gente dormir ambos vereda momento poder ir vereda mugre gente;Sucio por asentamientos. Cosas tiradas. Árbol quemado. Gente durmiendo en ambas veredas. En muchos momentos no se puede ir las veredas por la mugre o por la gente.;Limpieza Higienización Espacios Públicos Asentamientos Precarios;Limpieza/Higienización de Espacios Públicos por Asentamientos Precarios;00069813/23
cruce peligroso semáforo pasar camión ceamse gente caminar pasar mismo esquina Cramer hacer falta dos semáforo;Es un cruce peligroso, no hay semáforos, pasan muchos camiones de ceamse y gente caminando.  Pasa lo mismo en la esquina con Cramer. Hacen falta dos semáforos.;cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales;00097951/23
problema poder haber accidente calle concepción arenal cramer amenabar casi día auto circular mano venir amenabar hacia cramer ninguno señal visible;Hay muchos problemas y puede haber un accidente sobre la calle concepción arenal entre cramer y amenabar.  Todos o casi todos los días hay autos circulando en contra mano que vienen desde amenabar hacia cramer. No hay ninguna señal visible;cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales;00095710/23
planta veredo impedir ver cruzar peatón ciclista ver si venir alguien circular cruzar;Las plantas de la vereda impiden ver al cruzar tanto al peatón , como al ciclista , ver si viene alguien circulando o cruzando.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00159151/23
;;vehículo mal estacionado;Vehículo mal estacionado;00168720/23
;;queja Contenedores basura;Queja por Contenedores de basura;00263949/23
ruido molesto taller telecom;ruidos molesto de un taller telecom;ruido molesto vibración;Ruidos molestos y vibraciones;00068388/23
;;vehículo mal estacionado;Vehículo mal estacionado;00366682/23
estactsobre vereda;Estactsobre la vereda;vehículo mal estacionado;Vehículo mal estacionado;00366717/23
;;vehículo mal estacionado;Vehículo mal estacionado;00366676/23
retiro PODA;RETIRO DE PODA;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00055342/23
retiro PODA;RETIRO DE PODA;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00037346/23
árbol ahuecado peligro caída;Árbol ahuecado con peligro de caída;extracción árbol;Extracción de árbol;00022194/23
solicitar policia presencia noche cuadra banda gente extraño vez alcohol estupefaciente ruido molesto;Se solicita policia presencia de noche la cuadra banda de gente extraña, a veces mucho alcohol y estupefacientes  y ruidos molestos;Mayor presencia policial;Mayor presencia policial;00001127/23
